"topicstats"	"keywords"	"top7books"	"next5books, biggestauth, datequartiles"	"label"	"category"	"comments"
"TOPIC 10 pct corpus = 1.064% doc entropy = 10.7846 word length = 4.6200 coherence = -25471.8009 rank 1 docs = 0.0068 r1 ratio = 0.639"	"went came took told got saw asked house away put people began home get going day made gave sat looked see found while night called place take let gone ran next left heard because brought things another wanted thought coming soon morning turned stood together little man sent till fell along walked give started kept water once stay nothing became lay happened tried stopped saying want stayed spoke eat town "	"0.335 | Boas, Franz | Kathlamet texts | 1901 0.281 | Unknown Author | Ute tales | 1992 0.277 | Bowles, Paul | The boy who set the fire & other  | 1974 0.274 | Dorsey, George A. (George Amos | Traditions of the Osage | 1904 0.262 | Swanton, John Reed | Tlingit myths and texts | 1909 0.26 | Curtin, Jeremiah | Creation myths of primitive Ameri | 1898 0.253 | Grinnell, George Bird | The punishment of the stingy : an | 1901 "	"0.251 | Roberts, Helen H. (Helen Heffr | Eskimo songs : songs of the Coppe | 1925 0.247 | Goddard, Pliny Earle | Jicarilla Apache texts | 1911 0.246 | Tuttle, Amber M | The work of invisible helpers | 1945 0.245 | Westley, David | The oral tradition and the beginn | 1986 0.245 | Curtis, Susheela | Mainane : tswana tales | 1975 Unknown Author = 1.98% 1907-1970"	"oral storytelling"	"uncategorized dimension of style"	"I might call this a genre, but the entropy is too high and r1 ratio too low for the guidelines I established. It is also not entirely restricted to Native American stories, although that is certainly the center.  I'm left without a perfect category."
"TOPIC 11 pct corpus = 0.233% doc entropy = 9.8022 word length = 4.7700 coherence = -34393.6781 rank 1 docs = 0.0054 r1 ratio = 2.318"	"men work man mill mine job working company day coal new factory engineer mills worked big iron boss strike engine oil water foreman steel building office miners went machine fire line workers railroad union made gold mines came labour get steam works plant end camp under mining machinery run miner machines built cut shaft tunnel workmen dam ore first each feet power yard train along bridge those pit done pipe "	"0.183 | Bond, A. Russell (Alexander Ru | Pick, shovel and pluck; further e | 1914 0.179 | Reynolds, Michael | Engine-driving life : stirring ad | 1880 0.147 | Appleton, Victor | Tom Swift and his electric locomo | 1922 0.129 | Shapiro, Irwin | John Henry and the double jointed | 1945 0.126 | Hargreaves, Irene | McTaggart's red keg, 1867-1868 :  | 1988 0.124 | Cherry, Mike | On high steel; the education of a | 1974 0.113 | Il'enkov, Vasīlīǐ Pavlovīch | Driving axle; a novel of socialis | 1933 "	"0.112 | Paul, Elliot | Low run tide and Lava rook | 1929 0.11 | Owens, William A | Fever in the earth | 1958 0.11 | Montgomery, Elizabeth Rider | The story behind great inventions | 1944 0.109 | Unknown Author | Man is the most precious in the w | 1977 0.108 | Warman, Cy | The express messenger, and other  | 1897 Prichard, Katharine Susannah = 0.72% 1909-1956"	"e20c industrial work"	"technology"	
"TOPIC 12 pct corpus = 0.754% doc entropy = 10.4289 word length = 5.1800 coherence = -24277.5506 rank 1 docs = 0.0147 r1 ratio = 1.95"	"face eyes voice against felt its dark small moment body light own almost hands thought words hand mind without seemed moved still head something sound suddenly across silence smile turned feeling mouth saw between away look slowly nothing kind stood thin even sense heavy cold beyond beside fingers though under aware room feel himself lips air hair anger sudden bright moving yet soft spoke behind watching young darkness quiet know "	"0.134 | Hayes, Joseph | The third day | 1964 0.129 | Seth, Pepita | The spirit land | 1994 0.128 | Bates, H. E. (Herbert Ernest) | The cruise of the Breadwinner | 1946 0.127 | Jones, Madison | The innocent | 1957 0.125 | Wallant, Edward Lewis | The human season | 1960 0.125 | Rechy, John | The fourth angel | 1972 0.125 | Jones, Madison | Forest of the night | 1960 "	"0.123 | Bates, H. E. (Herbert Ernest) | Dear life | 1949 0.122 | Sperry, Armstrong | No brighter glory | 1942 0.121 | Dailey, Janet | Touch the wind | 1979 0.118 | Jones, Madison | A buried land, a novel | 1963 0.118 | Kelleher, Victor | Em's story : a novel | 1988 Schmitt, Gladys = 0.49% 1941-1961"	"physical sensation, mid-20c"	"physical description"	
"TOPIC 13 pct corpus = 0.57% doc entropy = 10.2351 word length = 5.0850 coherence = -29066.3686 rank 1 docs = 0.0123 r1 ratio = 2.158"	"young lady most such ladies dear good society friend pretty gentleman friends how heart old woman even our evening beauty little whose party honour fair charming ever love whom girl women half best eyes herself guests social those poor while handsome being many smile just fellow own fine youth company gentlemen oh among pleasure ball home day family beautiful sweet quite world dinner upon yet eye enough girls high under "	"0.156 | Meader, Herman Lee | Cupid, the surgeon | 1908 0.142 | Sanborn, Kate | Tact, and other essays | 1899 0.14 | Wingfield, Lewis Strange | Abigel Rowe | 1883 0.14 | Earl of Beaconsfield, Disraeli | Unknown Title | 1881 0.134 | O'Conor-Eccles, Charlotte | Modern men, by a modern maid | 1887 0.134 | Munsell, Ida Hamilton. [from o | Miss Heck's Thanksgiving party | 1895 0.133 | Rita | A husband of no importance | 1894 "	"0.132 | Paine, Albert Bigelow | The autobiography of a monkey; | 1897 0.131 | Edwards, Annie | Vivian the beauty | 1880 0.129 | Firbank, Ronald | Concerning the eccentricities of  | 1926 0.126 | Thormanby | Queens of beauty and their romanc | 1907 0.125 | Fawcett, Edgar | Social silhouettes (being the imp | 1885 Unknown Author = 0.34% 1887-1905"	"good society at the end of the 19c"	"human institutions, practices, or relationships"	"The words 'good society,' 'ladies,' 'gentlemen' 'ball,' 'evening,' 'guests,' and 'social' are kind of give-aways."
"TOPIC 14 pct corpus = 0.421% doc entropy = 10.6735 word length = 4.6650 coherence = -34613.7084 rank 1 docs = 0.0008 r1 ratio = 0.19"	"eat food kitchen table water bread cook good coffee put dinner hot day meat milk ate made eggs eating morning breakfast meal make plate soup tea butter cup cold fire sugar hungry three potatoes dishes half take small get clean chicken pot dish supper fresh cake cooking cut cheese salt piece work fish pie little fat cream stove eaten brought egg bowl four while beef set took wash full until "	"0.594 | Weaver, Louise Bennett | A thousand ways to please a husba | 1917 0.461 | Grant, Elizabeth (Raper), Mrs | The receipt book of Elizabeth Rap | 1924 0.378 | Plat, Hugh, Sir | Delightes for ladies | 1942 0.287 | Owen, Catherine | Gentle breadwinners | 1888 0.194 | Williams, Jay | Puppy pie | 1962 0.156 | Lutes, Della T. (Della Thompso | Home grown | 1937 0.139 | Sharma, Bulbul | The anger of aubergines : stories | 1997 "	"0.134 | Thompson, Hildegard | The little turtle | 1960 0.13 | Potter, Beatrix | The tale of two bad mice | 1904 0.118 | Worthington, May | Sally, army dietitian | 1944 0.117 | Esquivel, Laura | Like water for chocolate : a nove | 1992 0.108 | Nitsch, Helen Alice Matthews | Molly Bishop's family | 1888 Weaver, Louise Bennett = 0.62% 1914-1973"	"food and cooking"	"physical description"	"We could have said 'human institutions or practices'—because cooking is certainly a human practice. But notice that the emphasis is on concrete specifics ('meat,' 'milk,' 'water,' 'bread'), not say on 'restaurant,' 'chef,' 'recipe.'  This argues for physical description."
"TOPIC 15 pct corpus = 0.107% doc entropy = 8.8007 word length = 4.3650 coherence = -51147.9583 rank 1 docs = 0.0017 r1 ratio = 1.589"	"de madame la le monsieur et french les mademoiselle du m des que en un mon il je france pas qui vous northeast ce paris au une son pour dans est southeast c'est sieur bien mais dieu frenchman tout maman plus nous bon ma sur tu comme elle par sieu chateau si petit non chevalier oui avec lui moi sa saint sans rue mme cette fair qu'il deux grand fait "	"0.997 | Sienkiewicz, Henryk | Quo vadis? Roman du temps des Cé | 1913 0.995 | Loti, Pierre | Mon frère Yves | 1893 0.988 | Enault, Louis | Carine | 1888 0.988 | Calvocoressi, M. D. (Michel D. | Moussorgsky | 1908 0.96 | Hugo, Victor | Les miserables; abridged | 1885 0.854 | Claretie, Jules | Pierrille | 1892 0.769 | Erckmann, Emile | Le conscrit de 1813 | 1897 "	"0.568 | Bourget, Paul | Pastels of men | 1891 0.516 | La Salle, Robert Cavelier | Relation of the discoveries and v | 1901 0.515 | Parker, Gilbert, Sir | Donovan Pasha, and some people of | 1902 0.506 | Leoncavallo, Ruggiero | Zaza : play in five acts | 1904 0.45 | Blanchot, Maurice | The madness of the day | 1981 Hugo, Victor = 3.31% 1899-1942"	"French language"	"dialect/ language"	"The top seven books are all errors in our  corpus; these books are really in French! But there aren't many rank 1 docs here; more commonly this topic will be brief passages in an English book."
"TOPIC 16 pct corpus = 0.227% doc entropy = 8.6398 word length = 3.5700 coherence = -31747.2726 rank 1 docs = 0.0266 r1 ratio = 11.718"	"an de dat ter yo dey th n er ah git say wid fer yer dis ef ole en got done bout kin jes em den ai dem hit tell see man gwine fo fur good know goin how wuz ob right im big ain southeast day head thar look mighty little heah dear nothin yuh make dar mo sah folks whut whar cause night went jus old sho lak "	"0.805 | Harris, Joel Chandler | Nights with Uncle Remus; | 1883 0.743 | Branner, John Casper | How and why stories | 1921 0.723 | Page, Thomas Nelson | Unc' Edinburg; | 1895 0.722 | Boyle, Virginia (Frazer), Mrs | Brokenburne; | 1897 0.716 | Gordon, Armistead C. (Armistea | Befo' de war : echoes in negro di | 1888 0.682 | Owen, Mary Alicia | Old Rabbit, the voodoo, and other | 1893 0.562 | Corrothers, James David | The black cat club : Negro humor  | 1902 "	"0.541 | Bradford, Roark | Ol' man Adam an' his chillun : be | 1928 0.539 | Vaughan, Arthur Owen | Old Hendrik's tales | 1904 0.532 | Boyle, Virginia (Frazer), Mrs | Devil tales | 1938 0.509 | Pyrnelle, Louise Clarke | Diddie, Dumps, and Tot, or, Plant | 1882 0.484 | Moore, John Trotwood | Tom's last forage | 1926 Harris, Joel Chandler = 2.6% 1897-1921"	"dialectical representation of African-American life"	"dialect/ language"	"There will often be lots of rank 1 docs for a dialect."
"TOPIC 17 pct corpus = 0.91% doc entropy = 10.5723 word length = 4.6300 coherence = -26309.7271 rank 1 docs = 0.0153 r1 ratio = 1.681"	"myself went saw came told looked made thought us see took seemed knew felt asked gave heard our found though how began put left mine face know got first seen sat hand wanted away tell eyes day think turned kept while head tried looking next night called stood look still place soon should hands once walked brought little remember something taken side mind gone take passed held used might nothing "	"0.169 | Njue, Pal N | My lovely mother | 1976 0.154 | Chaplin, Charlie | Charlie Chaplin's own story | 1916 0.151 | Drake, Henry Burgess | Cursed be the treasure | 1928 0.146 | García Márquez, Gabriel | The story of a shipwrecked sailor | 1986 0.14 | Morrison, Harry Steele | A Yankee boy's success | 1898 0.139 | Unknown Author | Miss Robinson Crusoe : the story  | 1900 0.136 | Hocking, Joseph | The birthright | 1897 "	"0.135 | Stinson, Susan | Martha Moody : a novel | 1995 0.134 | Sagan, Françoise | A certain smile : a novel | 1956 0.132 | Paine, Albert Bigelow | The autobiography of a monkey; | 1897 0.132 | Tierney, Jane | Tōbō : one woman's escape | 1985 0.13 | pseud. Mann, Horace | The world destroyer | 1903 Unknown Author = 0.31% 1909-1983"	"first person"	"uncategorized dimension of style"	"Rather broadly diffused across the timeline, even though there are rank 1 docs."
"TOPIC 18 pct corpus = 0.221% doc entropy = 8.4426 word length = 4.6300 coherence = -21396.5220 rank 1 docs = 0.0656 r1 ratio = 29.683"	"lord around sword toward dragon stone power fire even its high magic eyes city own enough hand must covenant need against head master behind clan land still hold those warriors just how warrior such across blade took many blood know another black first perhaps made left weapons han until asked small great away others guards battle spear guard ground nodded both use within dark between wall keep style held red "	"0.285 | Donaldson, Stephen R | The wounded land | 1980 0.265 | Donaldson, Stephen R | Lord Foul's bane | 1977 0.265 | Clemens, James | Wit'ch storm | 1999 0.252 | McCaffrey, Anne | Dragonquest | 1971 0.247 | Donaldson, Stephen R | The power that preserves | 1977 0.242 | Anthony, Piers | Juxtaposition | 1982 0.24 | McCaffrey, Anne | The Dragonriders of Pern | 1978 "	"0.239 | Donaldson, Stephen R | The illearth war | 1977 0.238 | McCaffrey, Anne | Dragonflight | 1978 0.233 | Moorcock, Michael | The stealer of souls and other st | 1963 0.23 | Niven, Larry | The magic goes away | 1978 0.227 | Alton, Andrea I | Demon of undoing | 1988 Donaldson, Stephen R = 4.25% 1976-1988"	"fantasy, late 20c"	"genre"	"Tons of rank 1 docs, low entropy, clearly a genre."
"TOPIC 19 pct corpus = 0.54% doc entropy = 9.9965 word length = 5.0350 coherence = -21463.7878 rank 1 docs = 0.0183 r1 ratio = 3.389"	"room door around house table bed kitchen sat hand chair toward window front stood put hands turned against head across looked went just floor hair face porch walked hall eyes looking light open want coffee sitting arm stairs behind came beside something going glass right away under while closed street arms opened morning see held steps home water side took standing bedroom look pulled living let white know dark moved "	"0.243 | Rose, Joanna | Little Miss Strange : a novel | 1997 0.22 | Webb, Charles Richard | Love, Roger | 1969 0.192 | Kvasnosky, Laura McGee | Zelda and Ivy | 1998 0.178 | Webb, Charles Richard | The graduate | 1962 0.169 | Wolff, Maritta | Back of town | 1952 0.164 | Hazelgrove, William Elliott | Tobacco sticks | 1995 0.157 | Wilhelm, Gale | We too are drifting | 1935 "	"0.156 | Chuang, Hua | Crossings | 1968 0.149 | Wilhelm, Gale | Torchlight to Valhalla | 1938 0.145 | Jackson, Shirley | We have always lived in the castl | 1962 0.143 | Minot, Susan | Monkeys | 1986 0.142 | Chambers, George | The last man standing | 1989 Wolff, Maritta = 0.53% 1952-1987"	"mid-20c interiors"	"physical description"	"There's not a lot of social or generic continuity  between these books. This topic is really about navigating rooms, doors, windows, porches, streets, and so on. Given the chronology we could almost call this 'the postwar suburb,' but let's be modest in our claims."
